order_id,product_id,customer_id,quantity,price,total_amount,unit_price,discount_pct,promotion_flag,anomaly_flag
O01902,P014,C0179,3,13617.54,40852.62,13617.54,0,0,0
O02735,P074,C0093,20,6833.32,136666.4,6833.32,0,0,1
O02896,P052,C0134,2,3638.97,7277.94,3638.97,20,1,0
O02996,P065,C0181,2,160.09,320.18,160.09,10,0,0
O03020,P052,C0081,2,4487.02,8974.04,4487.02,5,0,0
O03236,P014,C0426,1,12211.79,12211.79,12211.79,10,0,0
O03329,P079,C0197,2,304.48,608.96,304.48,10,0,0
O03433,P099,C0184,20,5156.24,103124.8,5156.24,15,1,1
O03734,P080,C0174,6,18094.72,108568.32,18094.72,5,0,0
O03900,P100,C0056,2,523.42,1046.84,523.42,10,0,0
O04183,P019,C0393,1,780.24,780.24,780.24,25,1,0
O04226,P042,C0023,4,2060.35,8241.4,2060.35,5,0,0
O04305,P017,C0385,1,286.42,286.42,286.42,20,1,0
O04326,P064,C0084,1,3717.29,3717.29,3717.29,5,0,0
O04364,P080,C0169,20,48395.1,967902.0,48395.1,15,1,1
O04375,P048,C0232,2,2919.92,5839.84,2919.92,30,1,0
O04940,P003,C0038,2,198.72,397.44,198.72,0,0,0
O00023,P089,C0472,1,149.11,149.11,149.11,0,0,0
O00065,P019,C0223,1,865.81,865.81,865.81,15,1,0
O00387,P033,C0243,1,103.28,103.28,103.28,20,1,0
O00584,P042,C0162,1,1812.8,1812.8,1812.8,15,1,0
O01582,P072,C0182,2,1304.22,2608.44,1304.22,25,1,0
O02413,P051,C0421,1,280.16,280.16,280.16,0,0,0
O02798,P076,C0319,3,5756.27,17268.81,5756.27,15,1,0
O02840,P041,C0196,1,8641.69,8641.69,8641.69,10,0,0
O03241,P063,C0258,2,515.84,1031.68,515.84,20,1,0
O03398,P011,C0382,3,546.12,1638.36,546.12,15,1,0
O03489,P011,C0265,2,600.72,1201.44,600.72,5,0,0
O03915,P071,C0314,3,1456.86,4370.58,1456.86,10,0,0
O03932,P079,C0415,2,343.8,687.6,343.8,0,0,0
O04297,P095,C0395,1,3998.63,3998.63,3998.63,15,1,0
O04580,P100,C0121,15,236.0,3540.0,236.0,60,1,1
O04756,P007,C0445,2,1554.59,3109.18,1554.59,0,0,0
O00031,P006,C0066,2,4629.34,9258.68,4629.34,25,1,0
O01233,P026,C0345,3,84.09,252.27,84.09,15,1,0
O01515,P058,C0098,2,739.98,1479.96,739.98,15,1,0
O02402,P078,C0391,4,946.11,3784.44,946.11,5,0,0
O02846,P085,C0230,2,5451.26,10902.52,5451.26,10,0,0
O03403,P078,C0293,4,729.9,2919.6,729.9,25,1,0
O03938,P029,C0082,1,410.67,410.67,410.67,15,1,0
O04149,P088,C0038,5,986.03,4930.15,986.03,5,0,0
O04208,P028,C0115,1,4341.4,4341.4,4341.4,5,0,0
O04939,P079,C0289,1,341.69,341.69,341.69,0,0,0
O00488,P010,C0335,2,1563.68,3127.36,1563.68,20,1,0
O00823,P069,C0163,1,395.21,395.21,395.21,15,1,0
O00977,P082,C0375,2,4659.17,9318.34,4659.17,20,1,0
O01108,P025,C0119,3,180692.6,542077.8,180692.6,0,0,1
O01456,P074,C0058,3,2518.59,7555.77,2518.59,15,1,0
O01542,P084,C0394,1,188.04,188.04,188.04,10,0,0
O01585,P010,C0338,2,1566.11,3132.22,1566.11,20,1,0
O01651,P043,C0255,1,6284.4,6284.4,6284.4,5,0,0
O02152,P055,C0312,1,447.45,447.45,447.45,5,0,0
O02872,P044,C0325,3,1617.98,4853.94,1617.9799999999998,5,0,0
O03224,P027,C0163,2,2198.07,4396.14,2198.07,20,1,0
O03314,P045,C0324,2,814.17,1628.34,814.17,0,0,0
O03537,P097,C0171,1,427.18,427.18,427.18,5,0,0
O03769,P075,C0200,1,15981.59,15981.59,15981.59,5,0,0
O04308,P078,C0287,2,834.01,1668.02,834.01,15,1,0
O04432,P077,C0302,1,4353.82,4353.82,4353.82,10,0,0
O01488,P006,C0042,2,6052.29,12104.58,6052.29,0,0,0
O01583,P029,C0397,2,442.43,884.86,442.43,10,0,0
O01620,P035,C0069,2,59.97,119.94,59.97,15,1,0
O02155,P078,C0177,1,1014.0,1014.0,1014.0,0,0,0
O02414,P025,C0102,2,36932.7,73865.4,36932.7,0,0,0
O02635,P044,C0472,2,1401.37,2802.74,1401.37,15,1,0
O02878,P029,C0152,2,438.09,876.18,438.09,10,0,0
O03001,P081,C0426,1,10370.33,10370.33,10370.33,20,1,0
O03515,P076,C0131,1,4979.34,4979.34,4979.34,25,1,0
O03866,P032,C0484,1,244.48,244.48,244.48,20,1,0
O03880,P004,C0339,3,120.51,361.53,120.50999999999999,0,0,0
