product_id,order_date,quantity,total_amount,price,base_price,category,brand,order_region,customer_region,channel,segment,discount_pct,promotion_flag,purchase_frequency,margin_pct,popularity_score,order_month,order_weekday,is_weekend,lag_1_sales,lag_7_sales,rolling_avg_7,target_demand
P001,2025-01-12,4,2545.52,636.38,760.0,Beauty,Lakme,South,South,Mobile App,Premium,15.0,1,3.05,0.268,0.0120057034220532,1,6,1,0.0,0.0,4.0,4
P001,2025-01-18,2,1451.02,725.51,760.0,Beauty,Lakme,North,North,Mobile App,Premium,5.0,0,2.32,0.268,0.0120057034220532,1,5,1,4.0,0.0,3.0,2
P001,2025-01-31,15,3420.0,228.0,760.0,Beauty,Lakme,North,North,Mobile App,Loyal,70.0,1,6.17,0.268,0.0120057034220532,1,4,0,2.0,0.0,7.0,15
P001,2025-02-03,3,2310.57,770.19,760.0,Beauty,Lakme,Central,Central,Mobile App,Loyal,0.0,0,4.72,0.268,0.0120057034220532,2,0,0,15.0,0.0,6.0,3
P001,2025-02-09,3,2066.3599999999997,654.4,760.0,Beauty,Lakme,West,West,Mobile App,Loyal,15.0,1,2.905,0.268,0.0120057034220532,2,6,1,3.0,0.0,5.4,3
P001,2025-02-16,2,1408.16,704.08,760.0,Beauty,Lakme,North,North,Mobile App,Loyal,10.0,0,3.6,0.268,0.0120057034220532,2,6,1,3.0,0.0,4.833333333333333,2
P001,2025-02-22,1,609.42,609.42,760.0,Beauty,Lakme,East,East,Web,Premium,20.0,1,3.73,0.268,0.0120057034220532,2,5,1,2.0,0.0,4.285714285714286,1
P001,2025-03-02,3,2214.36,738.12,760.0,Beauty,Lakme,Central,Central,Web,Loyal,5.0,0,5.46,0.268,0.0120057034220532,3,6,1,1.0,4.0,4.142857142857143,3
P001,2025-03-03,3,1833.84,611.28,760.0,Beauty,Lakme,Central,Central,Web,Premium,20.0,1,4.33,0.268,0.0120057034220532,3,0,0,3.0,2.0,4.285714285714286,3
P001,2025-03-05,2,1544.56,772.28,760.0,Beauty,Lakme,East,East,Mobile App,Budget,0.0,0,1.15,0.268,0.0120057034220532,3,2,0,3.0,15.0,2.4285714285714284,2
P001,2025-03-06,2,1500.48,750.24,760.0,Beauty,Lakme,East,East,Mobile App,Regular,0.0,0,2.5,0.268,0.0120057034220532,3,3,0,2.0,3.0,2.2857142857142856,2
P001,2025-03-17,2,4901.2,2450.6,760.0,Beauty,Lakme,West,West,Mobile App,Loyal,25.0,1,4.72,0.268,0.0120057034220532,3,0,0,2.0,3.0,2.142857142857143,2
P001,2025-03-28,2,1384.86,692.43,760.0,Beauty,Lakme,North,North,Mobile App,Premium,10.0,0,3.91,0.268,0.0120057034220532,3,4,0,2.0,2.0,2.142857142857143,2
P001,2025-04-04,1,668.75,668.75,760.0,Beauty,Lakme,Central,Central,Web,Regular,15.0,1,2.23,0.268,0.0120057034220532,4,4,0,2.0,1.0,2.142857142857143,1
P001,2025-04-13,1,770.08,770.08,760.0,Beauty,Lakme,South,South,Mobile App,Budget,0.0,0,0.95,0.268,0.0120057034220532,4,6,1,1.0,3.0,1.8571428571428572,1
P001,2025-04-17,1,660.83,660.83,760.0,Beauty,Lakme,North,North,Mobile App,Premium,15.0,1,5.41,0.268,0.0120057034220532,4,3,0,1.0,3.0,1.5714285714285714,1
P001,2025-04-18,3,2029.32,676.44,760.0,Beauty,Lakme,South,South,Mobile App,Budget,10.0,0,1.38,0.268,0.0120057034220532,4,4,0,1.0,2.0,1.7142857142857142,3
P001,2025-04-24,2,1531.68,765.84,760.0,Beauty,Lakme,East,East,Mobile App,Loyal,0.0,0,4.93,0.268,0.0120057034220532,4,3,0,3.0,2.0,1.7142857142857142,2
P001,2025-05-10,2,1538.3,769.15,760.0,Beauty,Lakme,East,East,Mobile App,Regular,0.0,0,1.97,0.268,0.0120057034220532,5,5,1,2.0,2.0,1.7142857142857142,2
P001,2025-05-24,2,1480.68,740.34,760.0,Beauty,Lakme,North,North,Mobile App,Loyal,0.0,0,4.53,0.268,0.0120057034220532,5,5,1,2.0,2.0,1.7142857142857142,2
P001,2025-06-10,2,1405.2,702.6,760.0,Beauty,Lakme,West,West,Mobile App,Premium,10.0,0,4.77,0.268,0.0120057034220532,6,1,0,2.0,1.0,1.8571428571428572,2
P001,2025-06-13,2,1230.64,615.32,760.0,Beauty,Lakme,West,West,Mobile App,Premium,20.0,1,3.2,0.268,0.0120057034220532,6,4,0,2.0,1.0,2.0,2
P001,2025-06-14,3,1991.43,663.81,760.0,Beauty,Lakme,West,West,Mobile App,Loyal,15.0,1,4.64,0.268,0.0120057034220532,6,5,1,2.0,1.0,2.2857142857142856,3
P001,2025-06-18,1,594.97,594.97,760.0,Beauty,Lakme,South,South,Mobile App,Budget,20.0,1,0.74,0.268,0.0120057034220532,6,2,0,3.0,3.0,2.0,1
P001,2025-06-19,1,716.89,716.89,760.0,Beauty,Lakme,East,East,Mobile App,Premium,5.0,0,3.73,0.268,0.0120057034220532,6,3,0,1.0,2.0,1.8571428571428572,1
P001,2025-06-26,1,778.92,778.92,760.0,Beauty,Lakme,East,East,Mobile App,Regular,0.0,0,2.22,0.268,0.0120057034220532,6,3,0,1.0,2.0,1.7142857142857142,1
P001,2025-07-02,2,1555.36,777.68,760.0,Beauty,Lakme,South,South,Web,Loyal,0.0,0,3.24,0.268,0.0120057034220532,7,2,0,1.0,2.0,1.7142857142857142,2
P001,2025-07-11,3,2257.23,752.41,760.0,Beauty,Lakme,East,East,Mobile App,Loyal,0.0,0,6.9,0.268,0.0120057034220532,7,4,0,2.0,2.0,1.8571428571428572,3
P001,2025-07-24,1,568.74,568.74,760.0,Beauty,Lakme,South,South,Web,Regular,25.0,1,2.85,0.268,0.0120057034220532,7,3,0,3.0,2.0,1.7142857142857142,1
P001,2025-07-28,4,2785.48,696.37,760.0,Beauty,Lakme,South,South,Mobile App,Regular,10.0,0,2.98,0.268,0.0120057034220532,7,0,0,1.0,3.0,1.8571428571428572,4
P001,2025-08-04,3,2326.71,775.57,760.0,Beauty,Lakme,Central,Central,Mobile App,Premium,0.0,0,3.78,0.268,0.0120057034220532,8,0,0,4.0,1.0,2.142857142857143,3
P001,2025-08-09,3,1906.17,635.39,760.0,Beauty,Lakme,South,South,Mobile App,Premium,15.0,1,4.73,0.268,0.0120057034220532,8,5,1,3.0,1.0,2.4285714285714284,3
P001,2025-08-19,1,682.17,682.17,760.0,Beauty,Lakme,East,East,Mobile App,Premium,10.0,0,4.71,0.268,0.0120057034220532,8,1,0,3.0,1.0,2.4285714285714284,1
P001,2025-08-25,4,2662.4,665.6,760.0,Beauty,Lakme,South,South,Web,Premium,15.0,1,4.54,0.268,0.0120057034220532,8,0,0,1.0,2.0,2.7142857142857144,4
